run_id,pollutant,endpoint_group,endpoint,economic_method,climate_scenario,climate_note,n_rows,n_unique_cells,climate_multiplier,delta_mean_clim,baseline_cases_total,avoided_cases_total,beta,economic_value_total_usd_2015,economic_value_total_cop_2015
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario climático central,Escenario de referencia,254,254,1.0,1.4337929549698045,2676.9994719721,12.713526090919899,0.003324,142798.3250532123,396041158.6523306
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario climático desfavorable,Mayor estancamiento local,254,254,1.05,1.5054826027182948,2676.9994719721,13.347606866964052,0.003324,149920.32032974024,415793514.0121114
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,Escenario climático favorable,Menor acumulación local,254,254,0.97,1.39077916632071,2676.9994719721,12.333004800278154,0.003324,138524.30991672422,384187476.85234046
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario climático central,Escenario de referencia,254,254,1.0,1.4337929549698045,3573.000074232,9.454137916977855,0.00185,145357.3704735345,403138491.99241483
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario climático desfavorable,Mayor estancamiento local,254,254,1.05,1.5054826027182948,3573.000074232,9.926184205036655,0.00185,152615.08215243858,423267247.2940377
NO2_CLD,NO2,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,Escenario climático favorable,Menor acumulación local,254,254,0.97,1.39077916632071,3573.000074232,9.17087997107203,0.00185,141002.27955523244,391059952.1868683
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario climático central,Escenario de referencia,254,254,1.0,1.1955636212189589,2119.999999998885,2.2045527314405597,0.000867,19190882.846201457,53224570212.1405
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario climático desfavorable,Mayor formación fotoquímica,254,254,1.15,1.3748981644018026,2119.999999998885,2.5350368800938186,0.000867,22067785.03542102,61203457050.78772
O3_MAIN,O3,Mortality,Respiratory mortality,VSL,Escenario climático favorable,Menor formación fotoquímica,254,254,0.9,1.0760072590970629,2119.999999998885,1.9842011688049586,0.000867,17272697.373380408,47904617076.25442
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario climático central,Escenario de referencia,254,254,1.0,1.4780427685188642,109.74459191191424,1.2997990569659021,0.008066,11314898.967980674,31381080244.766636
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario climático desfavorable,Mayor acumulación / menor ventilación,254,254,1.1,1.625847045370751,109.74459191191424,1.428924559928481,0.008066,12438951.191577258,34498560403.25611
PM25_MAIN,PM25,Mortality,All-cause mortality,VSL,Escenario climático favorable,Mayor dispersión / menor acumulación,254,254,0.95,1.404140630092921,109.74459191191424,1.2351782730478271,0.008066,10752367.677204462,29820939086.98917
